,imgt,tenx,adaptive,adaptive_v2
214,TRBV11-3*02,TRBV11-3,TCRBV11-03*02,TCRBV11-03*02
215,TRBV11-3*03,TRBV11-3,TCRBV11-03*03,TCRBV11-03*03
216,TRBV11-3*04,TRBV11-3,TCRBV11-03*04,TCRBV11-03*04
217,TRBV12-1*01,TRBV12-1,TCRBV12-01*01,TCRBV12-01*01
218,TRBV12-2*01,TRBV12-2,TCRBV12-02*01,TCRBV12-02*01
219,TRBV12-3*01,TRBV12-3,TCRBV12-03*01,TCRBV12-03*01
220,TRBV12-4*01,TRBV12-4,TCRBV12-04*01,TCRBV12-04*01
221,TRBV12-4*02,TRBV12-4,TCRBV12-04*02,TCRBV12-04*02
222,TRBV12-5*01,TRBV12-5,TCRBV12-05*01,TCRBV12-05*01
223,TRBV13*01,TRBV13,TCRBV13*01,TCRBV13*01
224,TRBV13*02,TRBV13,TCRBV13*02,TCRBV13*02
225,TRBV14*01,TRBV14,TCRBV14*01,TCRBV14*01
226,TRBV14*02,TRBV14,TCRBV14*02,TCRBV14*02
227,TRBV15*01,TRBV15,TCRBV15*01,TCRBV15*01
228,TRBV15*02,TRBV15,TCRBV15*02,TCRBV15*02
229,TRBV15*03,TRBV15,TCRBV15*03,TCRBV15*03
230,TRBV16*01,TRBV16,TCRBV16*01,TCRBV16*01
231,TRBV16*02,TRBV16,TCRBV16*02,TCRBV16*02
232,TRBV16*03,TRBV16,TCRBV16*03,TCRBV16*03
233,TRBV17*01,TRBV17,TCRBV17*01,TCRBV17*01
234,TRBV17*02,TRBV17,TCRBV17*02,TCRBV17*02
235,TRBV18*01,TRBV18,TCRBV18*01,TCRBV18*01
236,TRBV19*01,TRBV19,TCRBV19*01,TCRBV19*01
237,TRBV19*02,TRBV19,TCRBV19*02,TCRBV19*02
238,TRBV19*03,TRBV19,TCRBV19*03,TCRBV19*03
239,TRBV2*01,TRBV2,TCRBV02*01,TCRBV02*01
240,TRBV2*02,TRBV2,TCRBV02*02,TCRBV02*02
241,TRBV2*03,TRBV2,TCRBV02*03,TCRBV02*03
242,TRBV20-1*01,TRBV20-1,TCRBV20-01*01,TCRBV20-01*01
243,TRBV20-1*02,TRBV20-1,TCRBV20-01*02,TCRBV20-01*02
244,TRBV20-1*03,TRBV20-1,TCRBV20-01*03,TCRBV20-01*03
245,TRBV20-1*04,TRBV20-1,TCRBV20-01*04,TCRBV20-01*04
246,TRBV20-1*05,TRBV20-1,TCRBV20-01*05,TCRBV20-01*05
247,TRBV20-1*06,TRBV20-1,TCRBV20-01*06,TCRBV20-01*06
248,TRBV20-1*07,TRBV20-1,TCRBV20-01*07,TCRBV20-01*07
249,TRBV20/OR9-2*01,TRBV20/OR9-2,TCRBV20/OR9-02*01,TCRBV20/OR9-02*01
250,TRBV20/OR9-2*02,TRBV20/OR9-2,TCRBV20/OR9-02*02,TCRBV20/OR9-02*02
251,TRBV20/OR9-2*03,TRBV20/OR9-2,TCRBV20/OR9-02*03,TCRBV20/OR9-02*03
252,TRBV21-1*01,TRBV21-1,TCRBV21-01*01,TCRBV21-01*01
253,TRBV21-1*02,TRBV21-1,TCRBV21-01*02,TCRBV21-01*02
254,TRBV21/OR9-2*01,TRBV21/OR9-2,TCRBV21/OR9-02*01,TCRBV21/OR9-02*01
255,TRBV23-1*01,TRBV23-1,TCRBV23-01*01,TCRBV23-01*01
256,TRBV23/OR9-2*01,TRBV23/OR9-2,TCRBV23/OR9-02*01,TCRBV23/OR9-02*01
257,TRBV23/OR9-2*02,TRBV23/OR9-2,TCRBV23/OR9-02*02,TCRBV23/OR9-02*02
258,TRBV24-1*01,TRBV24-1,TCRBV24-01*01,TCRBV24-01*01
259,TRBV24-1*02,TRBV24-1,TCRBV24-01*02,TCRBV24-01*02
260,TRBV24/OR9-2*01,TRBV24/OR9-2,TCRBV24/OR9-02*01,TCRBV24/OR9-02*01
261,TRBV25-1*01,TRBV25-1,TCRBV25-01*01,TCRBV25-01*01
262,TRBV26*01,TRBV26,TCRBV26*01,TCRBV26*01
263,TRBV26/OR9-2*01,TRBV26/OR9-2,TCRBV26/OR9-02*01,TCRBV26/OR9-02*01
264,TRBV26/OR9-2*02,TRBV26/OR9-2,TCRBV26/OR9-02*02,TCRBV26/OR9-02*02
265,TRBV27*01,TRBV27,TCRBV27*01,TCRBV27*01
266,TRBV28*01,TRBV28,TCRBV28*01,TCRBV28*01
267,TRBV29-1*01,TRBV29-1,TCRBV29-01*01,TCRBV29-01*01
268,TRBV29-1*02,TRBV29-1,TCRBV29-01*02,TCRBV29-01*02
269,TRBV29-1*03,TRBV29-1,TCRBV29-01*03,TCRBV29-01*03
270,TRBV29/OR9-2*01,TRBV29/OR9-2,TCRBV29/OR9-02*01,TCRBV29/OR9-02*01
271,TRBV29/OR9-2*02,TRBV29/OR9-2,TCRBV29/OR9-02*02,TCRBV29/OR9-02*02
272,TRBV3-1*01,TRBV3-1,TCRBV03-01*01,TCRBV03-01*01
273,TRBV3-1*02,TRBV3-1,TCRBV03-01*02,TCRBV03-01*02
274,TRBV3-2*01,TRBV3-2,TCRBV03-02*01,TCRBV03-02*01
275,TRBV3-2*02,TRBV3-2,TCRBV03-02*02,TCRBV03-02*02
276,TRBV3-2*03,TRBV3-2,TCRBV03-02*03,TCRBV03-02*03
277,TRBV30*01,TRBV30,TCRBV30*01,TCRBV30*01
278,TRBV30*02,TRBV30,TCRBV30*02,TCRBV30*02
279,TRBV30*03,TRBV30,TCRBV30*03,TCRBV30*03
280,TRBV30*04,TRBV30,TCRBV30*04,TCRBV30*04
281,TRBV30*05,TRBV30,TCRBV30*05,TCRBV30*05
282,TRBV4-1*01,TRBV4-1,TCRBV04-01*01,TCRBV04-01*01
283,TRBV4-1*02,TRBV4-1,TCRBV04-01*02,TCRBV04-01*02
284,TRBV4-2*01,TRBV4-2,TCRBV04-02*01,TCRBV04-02*01
285,TRBV4-2*02,TRBV4-2,TCRBV04-02*02,TCRBV04-02*02
286,TRBV4-3*01,TRBV4-3,TCRBV04-03*01,TCRBV04-03*01
287,TRBV4-3*02,TRBV4-3,TCRBV04-03*02,TCRBV04-03*02
288,TRBV4-3*03,TRBV4-3,TCRBV04-03*03,TCRBV04-03*03
289,TRBV4-3*04,TRBV4-3,TCRBV04-03*04,TCRBV04-03*04
290,TRBV5-1*01,TRBV5-1,TCRBV05-01*01,TCRBV05-01*01
291,TRBV5-1*02,TRBV5-1,TCRBV05-01*02,TCRBV05-01*02
292,TRBV5-3*01,TRBV5-3,TCRBV05-03*01,TCRBV05-03*01
293,TRBV5-3*02,TRBV5-3,TCRBV05-03*02,TCRBV05-03*02
294,TRBV5-4*01,TRBV5-4,TCRBV05-04*01,TCRBV05-04*01
295,TRBV5-4*02,TRBV5-4,TCRBV05-04*02,TCRBV05-04*02
296,TRBV5-4*03,TRBV5-4,TCRBV05-04*03,TCRBV05-04*03
297,TRBV5-4*04,TRBV5-4,TCRBV05-04*04,TCRBV05-04*04
298,TRBV5-5*01,TRBV5-5,TCRBV05-05*01,TCRBV05-05*01
299,TRBV5-5*02,TRBV5-5,TCRBV05-05*02,TCRBV05-05*02
300,TRBV5-5*03,TRBV5-5,TCRBV05-05*03,TCRBV05-05*03
301,TRBV5-6*01,TRBV5-6,TCRBV05-06*01,TCRBV05-06*01
302,TRBV5-7*01,TRBV5-7,TCRBV05-07*01,TCRBV05-07*01
303,TRBV5-8*01,TRBV5-8,TCRBV05-08*01,TCRBV05-08*01
304,TRBV5-8*02,TRBV5-8,TCRBV05-08*02,TCRBV05-08*02
305,TRBV6-1*01,TRBV6-1,TCRBV06-01*01,TCRBV06-01*01
306,TRBV6-2*01,TRBV6-2,TCRBV06-02*01,TCRBV06-02*01
307,TRBV6-3*01,TRBV6-3,TCRBV06-03*01,TCRBV06-03*01
308,TRBV6-4*01,TRBV6-4,TCRBV06-04*01,TCRBV06-04*01
309,TRBV6-4*02,TRBV6-4,TCRBV06-04*02,TCRBV06-04*02
310,TRBV6-5*01,TRBV6-5,TCRBV06-05*01,TCRBV06-05*01
311,TRBV6-6*01,TRBV6-6,TCRBV06-06*01,TCRBV06-06*01
312,TRBV6-6*02,TRBV6-6,TCRBV06-06*02,TCRBV06-06*02
313,TRBV6-6*03,TRBV6-6,TCRBV06-06*03,TCRBV06-06*03
314,TRBV6-6*04,TRBV6-6,TCRBV06-06*04,TCRBV06-06*04
315,TRBV6-6*05,TRBV6-6,TCRBV06-06*05,TCRBV06-06*05
316,TRBV6-7*01,TRBV6-7,TCRBV06-07*01,TCRBV06-07*01
317,TRBV6-8*01,TRBV6-8,TCRBV06-08*01,TCRBV06-08*01
318,TRBV6-9*01,TRBV6-9,TCRBV06-09*01,TCRBV06-09*01
319,TRBV7-1*01,TRBV7-1,TCRBV07-01*01,TCRBV07-01*01
320,TRBV7-2*01,TRBV7-2,TCRBV07-02*01,TCRBV07-02*01
